2020-09-12 19:43:41.462 INFO  o.s.s.w.DefaultSecurityFilterChain.<init>:43 - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6b70d1fb, org.springframework.security.web.context.SecurityContextPersistenceFilter@30abf79c, org.springframework.security.web.header.HeaderWriterFilter@3fb450d7, org.springframework.web.filter.CorsFilter@26e8ff8c, org.springframework.security.web.authentication.logout.LogoutFilter@37d28938, com.owasp.authenticationservice.auth.TokenAuthenticationFilter@3002e397, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@681061d6, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@251c90f, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7da1e005, org.springframework.security.web.session.SessionManagementFilter@3e6ec74, org.springframework.security.web.access.ExceptionTranslationFilter@687389a6, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@12192604]
2020-09-12 19:43:42.216 INFO  c.n.c.s.URLConfigurationSource.<init>:122 - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-09-12 19:43:42.230 INFO  c.n.c.s.URLConfigurationSource.<init>:122 - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-09-12 19:43:43.189 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator.initiateService:52 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2020-09-12 19:43:43.207 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.buildNativeEntityManagerFactory:416 - Initialized JPA EntityManagerFactory for persistence unit 'default'
2020-09-12 19:43:44.524 INFO  o.s.c.n.e.InstanceInfoFactory.create:72 - Setting initial instance status as: STARTING
2020-09-12 19:43:44.688 INFO  c.n.d.DiscoveryClient.<init>:368 - Initializing Eureka in region us-east-1
2020-09-12 19:43:45.059 INFO  c.n.d.p.DiscoveryJerseyProvider.<init>:70 - Using JSON encoding codec LegacyJacksonJson
2020-09-12 19:43:45.059 INFO  c.n.d.p.DiscoveryJerseyProvider.<init>:71 - Using JSON decoding codec LegacyJacksonJson
2020-09-12 19:43:45.239 INFO  c.n.d.p.DiscoveryJerseyProvider.<init>:80 - Using XML encoding codec XStreamXml
